"director_facebook_likes","cast_total_facebook_likes","num_voted_users","num_user_for_reviews","imdb_score","movie_facebook_likes","Revenue","Budget","profit","response"
139,22226,341058,713,6.7,49000,288747895,85000000,203747895,1
114,15428,87950,207,6.5,15000,53181600,28000000,25181600,1
109,24063,49671,166,6,11000,94073028,11500000,82573028,1
112,9049,300110,807,7.5,131000,318000141,13000000,305000141,1
240,46057,780588,1138,8.2,138000,392000694,100000000,292000694,1
165,3988,242420,918,5.7,56000,245500000,210000000,35500000,1
112,59803,414070,532,7.1,63000,479765000,170000000,309765000,1
136,18563,1217752,3646,8.7,25000,463517383,63000000,400517383,1
143,48184,809474,2113,8.1,10000,655011224,140000000,515011224,1
172,23052,1100446,2417,8.7,10000,926287400,79000000,847287400,1
103,6807,92364,244,6.5,15000,108782847,9000000,99782847,1
115,13159,97697,185,6.5,40000,286633264,29000000,257633264,1
121,1467,196217,461,7.6,59000,84025816,30000000,54025816,1
126,19769,51892,273,5.5,24000,143055748,140000000,3055748,1
110,4882,39440,83,6.1,15000,1.12e+08,38000000,7.4e+07,1
117,15554,293304,552,7.9,65000,38697217,8500000,30197217,1
133,16277,325264,916,7.3,112000,542307423,58800000,483507423,1
142,15700,1251222,1398,8.8,59000,677945399,55000000,622945399,1
99,20276,69484,323,5.9,28000,195725584,60000000,135725584,1
89,5056,31915,159,4.4,18000,102529779,5000000,97529779,1
73,6458,644348,656,8.5,17000,788241776,45000000,743241776,1
98,53587,67223,126,6.2,11000,349424282,127000000,222424282,1
141,30183,136973,275,7.4,47000,83719388,50000000,33719388,1
192,6434,1215718,3189,8.9,16000,1118888979,94000000,1024888979,1
153,2829,744891,983,8.5,13000,5.2e+08,100000000,4.2e+08,1
116,15735,175960,360,7.3,43000,108145109,75000000,33145109,1
128,23996,477300,621,7.6,20000,524028679,90000000,434028679,1
127,47334,139593,720,5.4,44000,183987723,176000003,7987720,1
94,1488,84382,158,5.1,0,126069509,40000000,86069509,1
178,16557,1324680,2195,8.9,45000,213928762,8000000,205928762,1
116,3230,732212,809,8.5,39000,381109762,19000000,362109762,1
118,27468,286095,974,6.6,0,371353001,200000000,171353001,1
102,2582,421658,904,7.6,58000,1274219009,150000000,1124219009,1
136,54083,370704,484,6.7,58000,1021683000,250000000,771683000,1
108,430,289508,611,7.7,109000,36869414,15000000,21869414,1
93,696,62836,345,6.8,20000,331926147,175000000,156926147,1
144,9125,470483,2301,8,0,599045960,150000000,449045960,1
112,19974,55617,266,5.2,14000,109902567,38000000,71902567,1
133,15106,146708,362,7.7,70000,137935567,35000000,102935567,1
169,48350,471220,1238,7.1,0,9.61e+08,300000000,6.61e+08,1
104,14504,126893,440,7.3,33000,108286421,15000000,93286421,1
109,19968,408302,345,7.2,39000,201585328,42000000,159585328,1
92,19963,60230,118,6.7,11000,373552094,132000000,241552094,1
115,60059,536314,738,7,63000,444115007,150000000,294115007,1
195,30426,557489,1187,7.2,95000,1215439994,200000000,1015439994,1
113,12652,431620,741,7.9,77000,370541256,178000000,192541256,1
154,16785,430055,856,6.9,16000,816969268,75000000,741969268,1
126,39252,696338,1055,7.9,10000,585174222,140000000,445174222,1
130,14363,317542,620,7.6,45000,708200000,170000000,538200000,1
117,17847,57674,126,6.5,11000,30523226,26000000,4523226,1
106,38494,60926,302,6.4,23000,63229796,22000000,41229796,1
153,36741,885175,1527,8.3,42000,319131050,70000000,249131050,1
91,87,582917,1885,7.8,147000,716392705,105000000,611392705,1
142,28631,321227,1067,6.7,41000,705717432,200000000,505717432,1
142,13495,1689764,4144,9.3,108000,28341469,25000000,3341469,1
100,5641,692482,866,8.2,11000,864625978,94000000,770625978,1
116,30571,114294,187,6.3,12000,106645357,42000000,64645357,1
97,15516,252257,634,7,89000,758410378,180000000,578410378,1
87,11608,385943,296,7.7,31000,543513985,69000000,474513985,1
143,2039,522030,1498,7.8,80000,1108561013,200000000,908561013,1
142,16944,178118,355,7.6,55000,165478348,40000000,125478348,1
111,4764,473887,626,8,10000,623722818,150000000,473722818,1
98,12998,403014,289,7.3,0,589390539,90000000,499390539,1
106,2023,330784,1243,6.7,0,586090727,200000000,386090727,1
97,2771,216581,397,6.4,21000,268157400,18000000,250157400,1
98,11905,286877,284,7.5,56000,970761885,76000000,894761885,1
115,12906,661017,771,8.5,16000,389925971,18000000,371925971,1
121,40484,544665,2012,7.3,5000,821708551,139000000,682708551,1
130,57308,182983,374,7.8,99000,133346506,28000000,105346506,1
133,21768,365104,512,7.4,35000,694713380,145000000,549713380,1
151,48486,522040,1832,7.3,5000,1065659812,200000000,865659812,1
112,1322,467234,1083,8.2,27000,83258226,19000000,64258226,1
143,20495,548573,2536,7.2,118000,662845518,225000000,437845518,1
107,4223,290949,629,7.8,13000,98235548,18000000,80235548,1
126,2725,269033,817,7.6,12000,411348924,35000000,376348924,1
103,5437,328159,467,7.6,3000,383257136,59000000,324257136,1
116,2524,563827,1110,8.5,23000,104931801,11000000,93931801,1
107,3582,600266,692,8.1,13000,78371200,6400000,71971200,1
150,26490,128682,657,6.1,51000,268031828,140000000,128031828,1
118,11898,329969,524,7.6,0,3.33e+08,28000000,3.05e+08,1
134,4251,439176,695,8.1,83000,1.87e+08,20000000,1.67e+08,1
119,13249,407601,849,7.9,0,214034224,60000000,154034224,1
131,19166,381148,1106,7,83000,407602906,180000000,227602906,1
112,9131,117927,501,5.2,0,401128639,145000000,256128639,1
105,54039,130272,209,5.9,2000,413106170,150000000,263106170,1
175,28122,1155770,2238,9.2,43000,245066411,6000000,239066411,1
131,40585,592582,722,8.2,25000,140767956,28000000,112767956,1
171,6521,982637,2368,8.5,21000,457640427,103000000,354640427,1
103,3698,667983,877,8.1,18000,264118201,60000000,204118201,1
131,21840,232187,440,7.4,47000,682330139,150000000,532330139,1
92,12754,307029,360,7.6,6000,631744560,130000000,501744560,1
151,13209,1347461,2968,8.8,48000,100853753,63000000,37853753,1
115,12068,387632,789,7.1,0,347234916,120000000,227234916,1
86,1777,266636,385,6.9,0,532680671,75000000,457680671,1
101,15500,437418,609,8.1,38000,70906973,14600000,56306973,1
104,3627,106820,147,6.5,14000,136621271,17000000,119621271,1
99,15082,475518,644,8.1,149000,174600318,30000000,144600318,1
132,21411,395573,1171,7.8,92000,467365246,190000000,277365246,1
215,2530,392474,1229,7.7,18000,185258983,130000000,55258983,1
112,2639,531737,1262,8,22000,210819611,30000000,180819611,1
102,10583,225273,523,6.2,71000,337580051,110000000,227580051,1
156,46055,383056,1902,6.2,0,890871626,258000000,632871626,1
182,9152,637246,1367,7.9,166000,1017003568,250000000,767003568,1
124,75793,75329,256,6.6,24000,101134059,60000000,41134059,1
124,48638,522371,723,7,18000,623933331,200000000,423933331,1
100,1261,110486,695,4.3,41000,167977596,120000001,47977595,1
133,1777,208092,806,7,0,95708457,22000000,73708457,1
115,57844,320284,1361,6.7,0,474968763,150000000,324968763,1
115,1901,479166,815,8,0,631442092,92000000,539442092,1
165,40978,955174,1193,8.5,199000,425368238,100000000,325368238,1
115,17369,491077,820,8.1,0,442824138,70000000,372824138,1
138,29585,786092,964,8.1,53000,294804195,80000000,214804195,1
108,14161,348232,806,7.8,0,288500217,75000000,213500217,1
194,45223,793059,2528,7.7,26000,1845034188,200000000,1645034188,1
169,44998,881236,2277,8.6,22000,481840909,70000000,411840909,1
142,33284,382255,1504,7.8,11000,789804554,130000000,659804554,1
106,20821,740918,1182,8.6,28000,23341568,6000000,17341568,1
102,20330,72803,171,7.3,33000,54837234,13000000,41837234,1
124,24098,456260,2326,7,97000,403170142,130000000,273170142,1
158,2144,283418,1055,5.8,13000,769653595,200000000,569653595,1
108,55486,234480,444,6.4,3000,574480841,110000000,464480841,1
96,1411,26767,121,5.1,0,72629670,25000000,47629670,1
118,3425,316671,301,7,35000,269994119,37000000,232994119,1
130,63986,844052,1100,8.5,49000,109676311,40000000,69676311,1
106,16922,58752,117,6,21000,140396650,90000000,50396650,1
113,46355,270226,741,6.5,57000,274470394,80000000,194470394,1
122,44060,348007,1535,5.2,19000,392616625,37000000,355616625,1
112,15327,93767,209,7.2,34000,42629776,25000000,17629776,1
74,19046,623757,391,8.3,0,361958736,30000000,331958736,1
109,17689,338087,814,6.6,61000,286140700,115000000,171140700,1
94,3559,469561,514,8.2,21000,16491080,4000000,12491080,1
122,14959,333847,2054,6.2,5000,786636033,185000000,601636033,1
185,15233,865020,1273,8.9,41000,321265768,22000000,299265768,1
135,2827,610568,1171,8.2,29000,313542341,60000000,253542341,1
117,4905,263853,584,7.2,0,461983149,120000000,341983149,1
106,21195,32507,119,7.5,15000,46152800,23000000,23152800,1
138,33433,355137,1108,7.5,0,938212738,150000000,788212738,1
92,5178,138582,423,6.3,37000,215529201,70000000,145529201,1
124,34817,256695,871,6.9,0,397850012,150000000,247850012,1
102,23378,221128,343,7.9,46000,609123048,145000000,464123048,1
101,15481,165618,503,5.3,66000,304654182,92000000,212654182,1
132,72881,228554,710,6.1,53000,396600000,170000000,226600000,1
108,1885,422432,1040,8.5,18000,3.2e+07,806948,31193052,1
117,2357,435864,801,7.7,36000,96188903,28000000,68188903,1
130,1784,199025,416,7.2,0,352194034,58000000,294194034,1
128,2037,157519,683,6.4,2000,361832400,135000000,226832400,1
85,3708,139329,578,5.7,31000,89328627,3000000,86328627,1
130,1164,82073,275,7,0,141195658,11000000,130195658,1
150,1317,286506,1463,6.9,0,748806957,180000000,568806957,1
146,24783,728685,989,8.7,25000,46836394,25000000,21836394,1
112,21773,471644,623,7,74000,549368315,50000000,499368315,1
127,39284,504419,1559,8,19000,385680446,150000000,235680446,1
90,52970,260939,244,8,0,504050219,28000000,476050219,1
131,52610,127258,351,6.1,56000,206172544,90000000,116172544,1
174,35672,387616,858,7.4,0,876688482,100000000,776688482,1
100,14168,158720,744,4.9,37000,243843127,130000000,113843127,1
123,32392,465019,995,7,129000,531865000,200000000,331865000,1
92,15013,585659,593,8.1,0,562816256,115000000,447816256,1
108,3033,50056,152,6.3,0,32556119,15000000,17556119,1
129,1062,364948,2121,6.7,0,424988211,150000000,274988211,1
123,63769,115216,289,7,44000,99775678,53000000,46775678,1
130,64040,220758,919,4.6,13000,709827462,50000000,659827462,1
121,36010,130661,304,7.2,54000,194564672,35000000,159564672,1
129,22403,338635,412,7.5,39000,334615000,125000000,209615000,1
105,13118,403836,646,7.6,47000,482860185,93000000,389860185,1
186,9152,483540,951,7.9,83000,958400000,250000000,708400000,1
109,1769,305340,1676,6.4,0,4.35e+08,200000000,2.35e+08,1
115,1815,194249,253,6.9,0,660940780,80000000,580940780,1
90,21015,182718,209,7.3,20000,665692281,150000000,515692281,1
142,49942,701607,1959,7.3,140000,691210692,75000000,616210692,1
88,14823,270207,606,6.1,2000,441818803,140000000,301818803,1
119,31782,203154,698,6.5,45000,161025640,70000000,91025640,1
108,38072,551363,1140,8,106000,327803731,13000000,314803731,1
93,15192,172489,376,7.7,0,125212904,15000000,110212904,1
90,275,467113,945,7.9,0,484409218,60000000,424409218,1
117,17738,326494,340,8,65000,55198285,5000000,50198285,1
153,28489,451803,1225,7,56000,752215857,215000000,537215857,1
93,17925,85323,212,5.8,0,101702060,45000000,56702060,1
104,39175,600996,726,8.3,27000,83557872,10000000,73557872,1
126,2899,215255,610,7,0,2.8e+08,80000000,2e+08,1
125,62837,101178,779,6,90000,212902372,50000000,162902372,1
130,10247,107028,457,6,44000,90565421,60000000,30565421,1
104,21380,90938,271,6.5,0,114194847,12000000,102194847,1
88,28011,386217,553,7.7,26000,102391382,23600000,78791382,1
129,1450,94241,309,6.3,25000,140795793,35000000,105795793,1
100,18786,4654,46,6.7,18000,109387615,20000000,89387615,1
123,11930,242188,1426,6.1,0,546388105,125000000,421388105,1
98,16410,238671,461,6.3,63000,376141306,45000000,331141306,1
109,2753,63390,160,6.4,0,85512300,12000000,73512300,1
128,1058,195333,409,8.1,80000,88346473,20000000,68346473,1
161,727,427357,1736,8.3,24000,56715371,12000000,44715371,1
140,44042,520104,3286,7.6,10000,8.5e+08,113000000,7.37e+08,1
93,5005,273556,428,7.2,39000,538983207,185000000,353983207,1
100,11471,212167,713,7,0,64238440,15000000,49238440,1
114,2085,265818,213,6.9,0,351583407,23000000,328583407,1
93,16034,379462,571,7.5,56000,147332697,32000000,115332697,1
135,5811,326286,643,6.8,0,163712074,150000000,13712074,1
103,5497,47968,154,6.4,35000,150170815,58000000,92170815,1
145,16094,375240,542,8.1,0,117235147,1100000,116135147,1
108,17623,583341,626,7.8,24000,459270619,35000000,424270619,1
117,47728,537419,1028,8.2,35000,27739163,15000000,12739163,1
156,3244,211765,546,6.7,17000,310669540,200000000,110669540,1
167,2702,119928,331,7.9,76000,201634991,28000000,173634991,1
128,51609,277451,491,8,23000,235860116,16400000,219460116,1
123,23031,77394,195,7.4,24000,61181942,35000000,26181942,1
93,27834,117999,181,6.6,16000,51070807,40000000,11070807,1
127,12884,515306,477,8.3,0,474171806,48000000,426171806,1
99,28994,664719,931,8.4,19000,14661007,1200000,13461007,1
104,14863,235025,265,7.3,44000,743559607,200000000,543559607,1
119,22767,219008,418,7.9,0,76270454,25000000,51270454,1
92,5217,34359,133,6,16000,311594032,74000000,237594032,1
107,17540,704766,2073,8.1,14000,672806292,40000000,632806292,1
133,2538,169914,1185,6.1,0,431971116,140000000,291971116,1
145,12546,399651,1331,7.7,0,358372926,102000000,256372926,1
138,83012,358416,751,7.3,63000,251171807,40000000,211171807,1
123,34495,396396,1111,7.9,57000,115603229,29000000,86603229,1
130,16385,226570,448,7,38000,218340595,60000000,158340595,1
157,53413,385670,1896,7.6,0,895921036,150000000,745921036,1
135,12175,229823,504,6.7,31000,276572938,130000000,146572938,1
121,2880,190786,539,5.4,0,336529144,100000000,236529144,1
147,3924,656640,1732,8.1,13000,158733820,40000000,118733820,1
102,21584,343648,590,6.4,0,624029371,150000000,474029371,1
101,4451,272534,345,7.8,40000,471222889,165000000,306222889,1
157,2759,216032,640,7.4,39000,132820716,40000000,92820716,1
94,3552,23473,123,4.4,8000,107275897,30000000,77275897,1
82,21275,385871,515,7.9,0,485015179,90000000,395015179,1
108,19364,666937,1514,8.3,52000,72258126,20000000,52258126,1
112,12676,213898,250,7.2,36000,115350426,17000000,98350426,1
116,13028,402645,845,7.8,0,450717150,85000000,365717150,1
93,578,20837,127,4.8,10000,30894815,10000000,20894815,1
138,20952,264047,491,7.3,64000,161772375,31000000,130772375,1
138,534,421818,2789,7.2,0,738599701,150000000,588599701,1
88,25354,145321,139,6.6,14000,877244782,95000000,782244782,1
93,4628,138661,173,6.4,0,752600867,165000000,587600867,1
110,1198,139432,418,7.8,0,124900000,3500000,121400000,1
102,2998,156225,502,6.8,0,111340801,50000000,61340801,1
130,2047,412454,962,8,21000,470654000,7000000,463654000,1
90,1227,152601,156,7,0,242988466,100000000,142988466,1
122,28933,93548,307,7.2,23000,34441873,30000000,4441873,1
94,1258,166791,132,7,0,886686817,90000000,796686817,1
119,37387,428916,667,7.4,75000,47042000,30000000,17042000,1
106,10882,86627,204,5.9,28000,174578751,90000000,84578751,1
174,16008,314253,1966,6.6,0,758239851,125000000,633239851,1
153,26029,322395,1171,6.6,11000,553799566,140000000,413799566,1
151,45648,873649,2054,8.5,29000,289847354,90000000,199847354,1
90,63165,132415,288,6,0,367275019,75000000,292275019,1
125,19359,284852,627,6.4,0,362744280,110000000,252744280,1
131,3229,218711,485,6.8,27000,288383523,32500000,255883523,1
92,27572,237248,460,6.8,0,43928932,21000000,22928932,1
99,23562,16984,96,5.3,0,78636257,29000000,49636257,1
146,16948,207839,435,6.7,0,356613439,150000000,206613439,1
114,12908,184561,554,6.7,123000,125537191,110000000,15537191,1
153,58753,321795,973,7.5,10000,933959197,250000000,683959197,1
132,27659,87682,174,7,43000,42972994,25000000,17972994,1
130,1233,69457,271,6.7,0,191185897,40000000,151185897,1
99,40312,66123,219,6.1,28000,104384188,31000000,73384188,1
109,20148,156898,172,6.7,22000,131940411,61000000,70940411,1
111,995,73249,212,7.5,36000,62076141,11000000,51076141,1
189,17716,782610,1377,8.5,30000,284600000,60000000,224600000,1
94,1010,65299,455,6.2,27000,98450062,5000000,93450062,1
106,16967,200647,384,7,24000,222809600,50000000,172809600,1
130,15972,248045,890,6.3,0,433013274,98000000,335013274,1
120,42028,291603,505,8.1,9000,138530565,6000000,132530565,1
119,54031,172707,462,6.3,37000,103039258,100000000,3039258,1
130,3133,452465,695,7.7,89000,232324128,44500000,187824128,1
109,16179,97045,285,5.7,55000,169837010,40000000,129837010,1
124,43453,198066,426,7.6,13000,83282296,53000000,30282296,1
129,13961,336235,782,7.2,0,383531464,110000000,273531464,1
111,35084,285623,497,7,0,176070171,60000000,116070171,1
141,48153,525801,667,8,15000,352114312,52000000,300114312,1
140,2114,124242,622,6.5,4000,54700105,33000000,21700105,1
123,14727,232710,599,7.7,26000,168167691,55000000,113167691,1
142,42990,464310,3516,6.7,0,649398328,120000000,529398328,1
93,1148,314630,483,7.2,0,919838758,150000000,769838758,1
143,15838,394317,1051,7.7,23000,429632142,90000000,339632142,1
117,16325,172878,203,6.4,19000,214918407,80000000,134918407,1
131,13679,255447,692,6.9,0,347451894,100000000,247451894,1
103,57881,246803,474,6.7,108000,312573423,100000000,212573423,1
117,2127,75280,267,6.9,0,111584787,9500000,102084787,1
131,2943,68565,300,6.3,0,152427960,30000000,122427960,1
123,14100,265507,388,7.7,90000,121201940,15000000,106201940,1
115,15708,177653,279,6.7,34000,122915111,50000000,72915111,1
96,20007,146766,178,6.9,0,309979994,150000000,159979994,1
124,22004,387436,892,7,71000,286168572,120000000,166168572,1
85,3958,296787,2192,7,0,170764026,25000000,145764026,1
103,19085,544884,733,8.3,30000,1063171911,200000000,863171911,1
110,12760,300542,378,7.1,0,457696359,80000000,377696359,1
122,4738,612060,1518,8.1,21000,171600000,25000000,146600000,1
117,33154,102747,316,5.5,0,156505388,95000000,61505388,1
110,23525,507063,881,8.3,35000,28262574,1300000,26962574,1
109,34011,304318,463,6.7,52000,173930596,40000000,133930596,1
96,15662,117606,217,6.4,0,300400432,44000000,256400432,1
138,32355,200022,1240,5.8,71000,362637473,125000000,237637473,1
108,23296,219091,592,7.3,12000,25836616,19000000,6836616,1
79,1594,111117,245,7.1,13000,48428063,30000000,18428063,1
132,1112,244566,597,6.8,0,99318987,66000000,33318987,1
134,16281,323353,527,7.9,65000,9.5e+07,55000000,4e+07,1
91,37142,164148,168,7.1,28000,358375603,85000000,273375603,1
120,10555,479453,696,7.7,74000,224920315,40000000,184920315,1
153,37321,383591,620,8.1,86000,122126687,46000000,76126687,1
162,36928,301279,589,7.7,12000,84785914,65000000,19785914,1
128,29824,174248,263,7.1,0,113280098,70000000,43280098,1
184,5401,254111,1999,6.1,0,449220945,140000000,309220945,1
112,19428,258186,322,7.1,24000,188441614,50000000,138441614,1
152,4270,292022,1103,7.7,10000,172989651,92000000,80989651,1
88,309,27918,155,7.2,33000,246233113,99000000,147233113,1
122,43499,256928,288,6.9,0,311312624,85000000,226312624,1
98,43286,150618,195,7.3,28000,585178928,135000000,450178928,1
111,28643,166610,211,6.4,0,73762516,45000000,28762516,1
99,4863,45394,72,6.5,19000,140470746,33000000,107470746,1
124,52547,184637,498,4.9,29000,698491347,68000000,630491347,1
196,17944,381672,1694,7.2,0,497409852,175000000,322409852,1
107,568,114925,234,7.1,13000,101229792,39000000,62229792,1
140,11951,188116,415,7.3,0,250649836,90000000,160649836,1
125,16138,350698,816,8,26000,122919055,70000000,52919055,1
95,23018,272789,285,6.6,25000,211780824,65000000,146780824,1
123,1326,76477,275,7.1,0,185438673,14000000,171438673,1
101,3858,782437,1420,8.6,35000,23875127,20000000,3875127,1
154,4228,488537,1076,8.4,18000,131060248,18500000,112560248,1
110,25763,299852,713,6.7,0,258270008,75000000,183270008,1
146,2560,610333,1320,8.4,37000,44017374,19000000,25017374,1
289,25313,450676,983,8.5,19000,83471511,31500000,51971511,1
100,39989,82804,154,6.5,15000,43058898,22000000,21058898,1
216,47657,314033,1166,7.5,0,193772504,100000000,93772504,1
127,2121,440084,755,8,122000,609016565,120000000,489016565,1
102,25462,357275,1061,7.6,18000,34266564,7000000,27266564,1
117,49743,87165,184,6.5,12000,123494610,40000000,83494610,1
97,16999,171568,571,6.7,0,281929795,25000000,256929795,1
96,10886,54010,130,6.1,13000,240360392,50000000,190360392,1
122,19078,822500,2715,8.4,22000,356296601,15000000,341296601,1
124,20553,333248,1159,6.4,19000,544272402,125000000,419272402,1
126,39319,343274,742,7.7,18000,263920180,90000000,173920180,1
137,2938,103589,351,7.2,35000,163442937,65000000,98442937,1
126,22722,348861,798,6.5,0,478207520,110000000,368207520,1
133,2371,74009,317,6.6,0,156167015,32000000,124167015,1
116,17347,561773,871,8.2,28000,269958228,33000000,236958228,1
89,26839,56501,97,6.7,16000,466183544,80000000,386183544,1
100,12150,157016,824,5.7,0,274703340,115000000,159703340,1
99,1375,213863,310,6.4,59000,179379533,65000000,114379533,1
118,26683,174578,534,5.8,0,302469017,175000000,127469017,1
78,2039,128285,297,7.3,0,169327687,100000000,69327687,1
97,5547,160418,296,5.7,16000,216197492,20000000,196197492,1
111,24928,238916,328,7.1,32000,71664962,58000000,13664962,1
108,3660,340085,327,7.8,12000,3.32e+08,40000000,2.92e+08,1
178,1976,736638,1065,8.4,17000,2.1e+08,72000000,1.38e+08,1
109,14073,155745,1053,6.8,10000,104478416,50000000,54478416,1
94,2259,13562,103,6.1,19000,88923251,18000000,70923251,1
115,1554,78008,160,6.7,23000,97594140,28000000,69594140,1
83,25788,124641,289,6.6,0,171757863,60000000,111757863,1
114,5095,236421,515,7.3,70000,188133322,90000000,98133322,1
116,20233,189806,316,6.7,16000,170432927,100000000,70432927,1
97,2480,89351,214,7.1,5000,267045765,105000000,162045765,1
172,22686,284825,828,7.5,124000,130482868,102000000,28482868,1
122,72115,533607,692,7.8,117000,205738714,21000000,184738714,1
101,956,268581,1109,7.6,20000,209947037,17000000,192947037,1
109,17866,33856,147,7.3,34000,61619773,11000000,50619773,1
96,12071,165333,186,7,19000,484635760,90000000,394635760,1
118,14024,141179,419,5.9,9000,226497209,95000000,131497209,1
106,1819,57349,177,6.4,0,32248241,12000000,20248241,1
119,2958,149680,328,6.5,0,333011068,110000000,223011068,1
101,36892,51326,116,6.5,8000,43528634,8500000,35028634,1
128,7067,197584,918,6.1,42000,89792502,82000000,7792502,1
120,820,641997,1017,8,13000,377910544,15000000,362910544,1
105,26233,165792,392,6.7,44000,31327899,20000000,11327899,1
116,16149,222403,453,6.6,23000,335154643,150000000,185154643,1
109,20956,270228,194,6.6,41000,150483765,35000000,115483765,1
122,1484,52894,185,7.3,55000,88880821,22000000,66880821,1
127,17551,125305,343,6.4,39000,98337295,38000000,60337295,1
116,12758,334345,2741,6.5,0,591739379,132000000,459739379,1
133,12285,383784,331,8,12000,354825435,25000000,329825435,1
92,2184,119974,169,6.6,0,91327197,35000000,56327197,1
120,1105,74249,276,6.7,0,1.16e+08,7200000,108800000,1
109,23923,286178,631,6.8,0,326551094,35000000,291551094,1
102,16143,375879,402,6.5,56000,254455986,80000000,174455986,1
119,20391,166269,735,7.7,0,85306374,15000000,70306374,1
127,22254,254841,426,7.1,36000,299268508,110000000,189268508,1
106,14607,200035,407,7.1,36000,127869379,50200000,77669379,1
133,2176,680041,760,8.7,32000,108981275,3000000,105981275,1
94,11984,279179,440,7.6,63000,35692920,18000000,17692920,1
88,4478,171792,222,7.5,12000,304320254,90000000,214320254,1
102,24107,34964,150,4.8,28000,55969000,50000000,5969000,1
126,1008,69534,294,6.3,0,210300000,34000000,176300000,1
87,3086,259083,763,7.4,0,527068851,75000000,452068851,1
88,15001,112167,123,6.3,0,2.3e+08,80000000,1.5e+08,1
95,24205,211226,317,7.2,0,363398565,120000000,243398565,1
