0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Norwegian Wood (2010),Original Title ノルウェイの森,Status Released,Original Language Japanese,Runtime 2h 13m,Budget -,"Revenue $17,636,261.00",Homepage http://www.norway-mori.com/index.html,Release Information,Rinko Kikuchi,Kiko Mizuhara,Reika Kirishima,Eriko Hatsune,Ken'ichi Matsuyama,Tetsuji Tamayama,Full Cast & Crew
The Young Black Stallion (2003),Status Released,Original Language English,Runtime 0h 45m,Budget -,Revenue -,Homepage -,Release Information,Biana Tamimi,Patrick Elias,Gérard Rudolf,Ali Al Ameri,Andries Rossouw,Richard Romanus,Full Cast & Crew,
Badlands (1973),Status Released,Original Language English,Runtime 1h 34m,Budget -,Revenue -,Homepage -,Release Information,Martin Sheen,Sissy Spacek,Warren Oates,Gary Littlejohn,Alan Vint,Ramon Bieri,Full Cast & Crew,
The Hunters (2013),Status Released,Original Language English,Runtime 1h 25m,Budget -,Revenue -,Homepage -,Release Information,Robbie Amell,Alexa PenaVega,Keenan Tracey,Victor Garber,Michelle Forbes,Dan Payne,Full Cast & Crew,
La Ronde (1950),Status Released,Original Language French,Runtime 1h 50m,Budget -,Revenue -,Homepage -,Release Information,Anton Walbrook,Simone Signoret,Serge Reggiani,Simone Simon,Daniel Gélin,Fernand Gravey,Full Cast & Crew,
Red Desert (1964),Original Title Il deserto rosso,Status Released,Original Language English,Runtime 2h 0m,Budget -,Revenue -,Homepage -,Release Information,Monica Vitti,Richard Harris,Carlo Chionetti,Xenia Valderi,Rita Renoir,Lili Rheims,Full Cast & Crew
Tokyo Decadence (1992),Original Title Topâzu,Status Released,Original Language Japanese,Runtime 2h 15m,Budget -,Revenue -,Homepage -,Release Information,Miho Nikaido,Sayoko Amano,Tenmei Kano,Kan Mikami,Masahiko Shimada,Yayoi Kusama,Full Cast & Crew
2 Days in the Valley (1996),Status Released,Original Language English,Runtime 1h 44m,Budget -,Revenue -,Homepage -,Release Information,Danny Aiello,Greg Cruttwell,Jeff Daniels,Teri Hatcher,Charlize Theron,James Spader,Full Cast & Crew,
The Man from the Future (2011),Original Title O Homem do Futuro,Status Released,Original Language Portuguese,Runtime 1h 46m,Budget -,Revenue -,Homepage -,Release Information,Wagner Moura,Alinne Moraes,Maria Luísa Mendonça,Gabriel Braga Nunes,Fernando Ceylão,Gregório Duvivier,Full Cast & Crew
College (2008),Status Released,Original Language English,Runtime 1h 34m,"Budget $7,000,000.00","Revenue $6,230,276.00",Homepage http://college-themovie.com/,Release Information,Drake Bell,Andrew Caldwell,Andree Moss,Carolyn Moss,Wendy Talley,Nick Zano,Full Cast & Crew,
Thriller: A Cruel Picture (1973),Original Title Thriller - en grym film,Status Released,Original Language English,Runtime 1h 44m,Budget -,Revenue -,Homepage -,Release Information,Christina Lindberg,Heinz Hopf,Despina Tomazani,Per-Axel Arosenius,Solveig Andersson,Björn Kristiansson,Full Cast & Crew
Shutter (2004),Original Title ชัตเตอร์ กดติดวิญญาณ,Status Released,Original Language Thai,Runtime 1h 37m,Budget -,Revenue -,Homepage -,Release Information,Ananda Everingham,Natthaweeranuch Thongmee,Achita Sikamana,Unnop Chanpaibool,Titikarn Tongprasearth,Sivagorn Muttamara,Full Cast & Crew
The Crucified Lovers (1954),Original Title 近松物語,Status Released,Original Language Japanese,Runtime 1h 42m,Budget -,Revenue -,Homepage -,Release Information,Kazuo Hasegawa,Kyôko Kagawa,Eitarô Shindô,Eitarô Ozawa,Yôko Minamida,Haruo Tanaka,Full Cast & Crew
The Paper (1994),Status Released,Original Language English,Runtime 1h 52m,"Budget $6,000,000.00",Revenue -,Homepage -,Release Information,Michael Keaton,Robert Duvall,Glenn Close,Marisa Tomei,Randy Quaid,Jason Alexander,Full Cast & Crew,
Winning Streak (2012),Original Title The Pelayos,Status Released,Original Language English,Runtime 1h 30m,Budget -,Revenue -,Homepage -,Release Information,Daniel Brühl,Lluís Homar,Blanca Suárez,Sonia Casademont,Hui Chi Chiu,Eduard Fernández,Full Cast & Crew
From Vegas to Macau (2014),Original Title 賭城風雲,Status Released,Original Language Cantonese,Runtime 1h 34m,Budget -,Revenue -,Homepage -,Release Information,Chow Yun-fat,Nicholas Tse,Kimmy Tong Fei,Chapman To,Gao Hu,John Zhang Jin,Full Cast & Crew
Christmas in Wonderland (2007),Status Released,Original Language English,Runtime 1h 35m,Budget -,Revenue -,Homepage -,Release Information,Patrick Swayze,Matthew Knight,Amy Schlagel,Tim Curry,Carmen Electra,Chris Kattan,Full Cast & Crew,
Nekromantik 2 (1991),Status Released,Original Language English,Runtime 1h 51m,Budget -,Revenue -,Homepage -,Release Information,Login to Edit Cast & Crew,,,,,,,
When Eight Bells Toll (1971),Status Released,Original Language English,Runtime 1h 34m,Budget -,Revenue -,Homepage -,Release Information,Anthony Hopkins,Robert Morley,Nathalie Delon,Jack Hawkins,Corin Redgrave,Full Cast & Crew,,
Blacula (1972),Status Released,Original Language English,Runtime 1h 33m,"Budget $500,000.00",Revenue -,Homepage -,Release Information,William Marshall,Vonetta McGee,Denise Nicholas,Thalmus Rasulala,Gordon Pinsent,Charles Macaulay,Full Cast & Crew,
Choose (2011),Status Released,Original Language English,Runtime 1h 23m,Budget -,Revenue -,Homepage http://www.scfilmsinternational.com/choose/index.htm,Release Information,Katheryn Winnick,Nicholas Tucci,Kevin Pollak,Bruce Dern,Richard Short,Alexi Wasser,Full Cast & Crew,
Getting That Girl (2011),Status Released,Original Language English,Runtime 1h 31m,Budget -,Revenue -,Homepage -,Release Information,Escher Holloway,Gia Mantegna,Full Cast & Crew,,,,,
Behemoth (2011),Status Released,Original Language English,Runtime 1h 30m,"Budget $1,300,000.00",Revenue -,Homepage -,Release Information,Ed Quinn,Pascale Hutton,Cindy Busby,Jessica Parker Kennedy,Ty Olsson,William B. Davis,Full Cast & Crew,
The Song (2014),Status Released,Original Language English,Runtime 1h 56m,Budget -,"Revenue $1,009,620.00",Homepage -,Release Information,Alan Powell,Ali Faulkner,Caitlin Nicol-Thomas,Danny Vinson,Kenda Benward,Landon Marshall,Full Cast & Crew,
The Book of Revelation (2006),Status Released,Original Language English,Runtime 1h 58m,Budget -,Revenue -,Homepage -,Release Information,Anna Torv,Tom Long,Greta Scacchi,Colin Friels,Brian Lipson,Damien Fotiou,Full Cast & Crew,
Chain of Command (2015),Original Title Echo Effect,Status Released,Original Language English,Runtime 1h 28m,"Budget $5,000,000.00",Revenue -,Homepage -,Release Information,Michael Jai White,Steve Austin,Max Ryan,Allen Yates,Full Cast & Crew,,
Thodari (2016),Original Title தொடரி,Status Post Production,Original Language Tamil,Runtime -,Budget -,Revenue -,Homepage -,Release Information,Dhanush,Keerthi Suresh,Ganesh Venkatraman,Harish Uthaman,Pooja Jhaveri,Thambi Ramaiah,Full Cast & Crew
A Touch of Spice (2003),Original Title Πολίτικη κουζίνα,Status Released,Original Language Greek,Runtime 1h 48m,Budget -,Revenue -,Homepage http://villageproductions.gr/atouchofspice.php,Release Information,Ieroklis Michaelidis,Renia Louizidou,Tamer Karadağlı,Stelios Mainas,Tassos Bandis,Odysseas Papaspiliopoulos,Full Cast & Crew
The Beverly Hillbillies (1993),Status Released,Original Language English,Runtime 1h 33m,Budget -,Revenue -,Homepage -,Release Information,Jim Varney,Diedrich Bader,Erika Eleniak,Cloris Leachman,Lily Tomlin,Lea Thompson,Full Cast & Crew,
Beneath (2013),Status Released,Original Language English,Runtime 1h 30m,Budget -,Revenue -,Homepage -,Release Information,Daniel Zovatto,Bonnie Dennison,Chris Conroy,Jonny Orsini,Griffin Newman,Mackenzie Rosman,Full Cast & Crew,
Innocence (2004),Original Title L'Ecole,Status Released,Original Language French,Runtime 2h 2m,Budget -,Revenue -,Homepage -,Release Information,Zoé Auclair,Lea Bridarolli,Bérangère Haubruge,Marion Cotillard,Hélène de Fougerolles,Olga Peytavi-Müller,Full Cast & Crew
Steamboy (2004),Status Released,Original Language Japanese,Runtime 2h 6m,"Budget $20,000,000.00",Revenue -,Homepage -,Release Information,Anne Suzuki,Masane Tsukayama,Katsuo Nakamura,Manami Konishi,Kiyoshi Kodama,Ikki Sawamura,Full Cast & Crew,
The Last Man on Earth (1964),Status Released,Original Language English,Runtime 1h 26m,Budget -,Revenue -,Homepage -,Release Information,Vincent Price,Franca Bettoia,Emma Danieli,Giacomo Rossi-Stuart,Umberto Raho,Christi Courtland,Full Cast & Crew,
The Exciled Cow (2014),Original Title Sürgün İnek,Status Released,Original Language Turkish,Runtime 2h 2m,"Budget $2,000,000.00",Revenue -,Homepage http://www.atmosferfilm.com/,Release Information,Hasan Kaçan,Cezmi Baskın,Şebnem Sönmez,Fırat Tanış,Vildan Atasever,Full Cast & Crew,
McCanick (2014),Status Released,Original Language English,Runtime 1h 36m,Budget -,Revenue -,Homepage https://www.facebook.com/McCanick,Release Information,David Morse,Cory Monteith,Mike Vogel,Rachel Nichols,Ciarán Hinds,Tracie Thoms,Full Cast & Crew,
Benji the Hunted (1987),Status Released,Original Language English,Runtime 1h 28m,Budget -,Revenue -,Homepage -,Release Information,Benjean,Red Steagall,Frank Inn,Nancy Francis,Full Cast & Crew,,,
Masked and Anonymous (2003),Status Released,Original Language English,Runtime 1h 52m,Budget -,Revenue -,Homepage -,Release Information,Bob Dylan,Jeff Bridges,Penélope Cruz,John Goodman,Jessica Lange,Luke Wilson,Full Cast & Crew,
Kindergarten Cop (1990),Status Released,Original Language English,Runtime 1h 51m,"Budget $15,000,000.00","Revenue $201,957,688.00",Homepage -,Release Information,Arnold Schwarzenegger,Penelope Ann Miller,Pamela Reed,Linda Hunt,Richard Tyson,Alix Koromzay,Full Cast & Crew,
Crooks in Clover (1963),Original Title Les Tontons Flingueurs,Status Released,Original Language French,Runtime 1h 45m,Budget -,Revenue -,Homepage -,Release Information,Lino Ventura,Bernard Blier,Francis Blanche,Claude Rich,Pierre Bertin,Jean Lefebvre,Full Cast & Crew
Oozham (2016),Status Released,Original Language English,Runtime -,Budget -,Revenue -,Homepage -,Release Information,Login to Edit Cast & Crew,,,,,,,
Fellini's Casanova (1976),Original Title Il Casanova di Federico Fellini,Status Released,Original Language English,Runtime 2h 35m,Budget -,Revenue -,Homepage -,Release Information,Donald Sutherland,Tina Aumont,Cicely Browne,Carmen Scarpitta,Clara Algranti,Daniela Gatti,Full Cast & Crew
Hoot (2006),Status Released,Original Language English,Runtime 1h 31m,Budget -,Revenue -,Homepage -,Release Information,Luke Wilson,Logan Lerman,Brie Larson,Tim Blake Nelson,Cody Linley,Clark Gregg,Full Cast & Crew,
Siren (2004),Original Title 新·妖女伝説 セイレーン,Status Released,Original Language Japanese,Runtime 1h 16m,Budget -,Revenue -,Homepage -,Release Information,Sola Aoi,Full Cast & Crew,,,,,
Dinosaur 13 (2014),Status Released,Original Language English,Runtime 1h 35m,Budget -,Revenue -,Homepage -,Release Information,Peter L. Larson,Louie Psihoyos,Stan Adelstein,Lanice Archer,Full Cast & Crew,,,
Breaking Away (1979),Status Released,Original Language English,Runtime 1h 40m,"Budget $2,300,000.00","Revenue $20,000,000.00",Homepage -,Release Information,Dennis Quaid,Daniel Stern,Jackie Earle Haley,Dennis Christopher,Barbara Barrie,Paul Dooley,Full Cast & Crew,
The Second Wind (2007),Original Title Le deuxième souffle,Status Released,Original Language French,Runtime 2h 35m,"Budget $34,000,000.00",Revenue -,Homepage -,Release Information,Daniel Auteuil,Monica Bellucci,Michel Blanc,Jacques Dutronc,Eric Cantona,Gilbert Melki,Full Cast & Crew
Raven the Little Rascal (2012),Original Title Der kleine Rabe Socke,Status Released,Original Language German,Runtime 1h 18m,Budget -,Revenue -,Homepage -,Release Information,Anna Thalbach,Katharina Thalbach,Jan Delay,Constantin von Jascheroff,Full Cast & Crew,,
My Girlfriend Is an Agent (2009),Original Title 7급 공무원,Status Released,Original Language English,Runtime 1h 52m,Budget -,Revenue -,Homepage -,Release Information,Kim Ha-Neul,Kang Ji-hwan,Yoo Seung-Mok,Full Cast & Crew,,,
Father's Day (2011),Status Released,Original Language English,Runtime 1h 39m,Budget $10.00,Revenue -,Homepage -,Release Information,Adam Brooks,Matthew Kennedy,Conor Sweeney,Amy Groening,Garrett Hnatiuk,Brent Neale,Full Cast & Crew,
Singles (1992),Status Released,Original Language English,Runtime 1h 39m,Budget -,"Revenue $18,472,850.00",Homepage -,Release Information,Bridget Fonda,Campbell Scott,Kyra Sedgwick,Sheila Kelley,Jim True-Frost,Matt Dillon,Full Cast & Crew,
Target (2011),Original Title Mishen,Status Released,Original Language Russian,Runtime 2h 38m,Budget -,"Revenue $73,000.00",Homepage -,Release Information,Maksim Sukhanov,Justine Waddell,Danila Kozlovskiy,Daniela Stoyanovich,Vitaly Kishchenko,Nina Loshchinina,Full Cast & Crew
Max Minsky and Me (2007),Original Title Max Minsky und ich,Status Released,Original Language German,Runtime 1h 34m,Budget -,Revenue -,Homepage -,Release Information,Zoe Moore,Emil Reinke,Jan Josef Liefers,Monica Bleibtreu,Susanna Simon,Rosemarie Fendel,Full Cast & Crew
The Seamstress (2009),Status Released,Original Language English,Runtime 1h 25m,"Budget $2,500,000.00",Revenue -,Homepage -,Release Information,Lance Henriksen,Kailin See,David Kopp,James Kirk,Lara Gilchrist,Sarah Mutch,Full Cast & Crew,
The First Grader (2010),Status Released,Original Language English,Runtime 1h 43m,Budget -,Revenue -,Homepage http://www.thefirstgrader-themovie.com/,Release Information,Naomie Harris,Tony Kgoroge,Nick Reding,Oliver Litondo,Alfred Munyua,Full Cast & Crew,,
Erased (2016),Original Title 僕だけがいない街,Status Released,Original Language Japanese,Runtime 2h 0m,Budget -,Revenue -,Homepage http://wwws.warnerbros.co.jp/bokumachi/,Release Information,Tatsuya Fujiwara,Kasumi Arimura,Yuriko Ishida,Tetta Sugimoto,Mitsuhiro Oikawa,Seiji Fukushi,Full Cast & Crew
Beloved Sisters (2014),Original Title Die geliebten Schwestern,Status Released,Original Language German,Runtime 3h 0m,Budget -,Revenue -,Homepage -,Release Information,Florian Stetter,Henriette Confurius,Hannah Herzsprung,Ronald Zehrfeld,Andreas Pietschmann,Maja Maranow,Full Cast & Crew
Peeples (2013),Status Released,Original Language English,Runtime 1h 35m,Budget $15.00,Revenue -,Homepage http://www.peeplesmovie.com/,Release Information,Craig Robinson,Kerry Washington,David Alan Grier,S. Epatha Merkerson,Tyler James Williams,Kali Hawk,Full Cast & Crew,
Babylon 5: The Lost Tales - Voices in the Dark (2007),Status Released,Original Language English,Runtime 1h 15m,Budget -,Revenue -,Homepage -,Release Information,Bruce Boxleitner,Peter Woodward,Alan Scarfe,Teryl Rothery,Keegan Macintosh,Craig Veroni,Full Cast & Crew,
Conspiracy (2001),Status Released,Original Language English,Runtime 1h 36m,Budget -,Revenue -,Homepage -,Release Information,Kenneth Branagh,Stanley Tucci,Colin Firth,Ian McNeice,Brendan Coyle,David Threlfall,Full Cast & Crew,
Complete Unknown (2016),Status Released,Original Language English,Runtime 1h 30m,Budget -,Revenue -,Homepage -,Release Information,Rachel Weisz,Michael Shannon,Kathy Bates,Danny Glover,Michael Chernus,Condola Rashad,Full Cast & Crew,
Mifune's Last Song (1999),Original Title Mifunes sidste sang,Status Released,Original Language Danish,Runtime 1h 38m,Budget -,Revenue -,Homepage http://www.dogme95.dk/mifune/forside/forside.htm,Release Information,Anders W. Berthelsen,Iben Hjejle,Jesper Asholt,Sofie Gråbøl,Emil Tarding,Anders Hove,Full Cast & Crew
Citizen Toxie: The Toxic Avenger IV (2001),Status Released,Original Language English,Runtime 1h 49m,"Budget $500,000.00",Revenue -,Homepage -,Release Information,David Mattey,Clyde Lewis,Heidi Sjursen,Paul Kyrmse,Joe Fleishaker,Dan Snow,Full Cast & Crew,
Snow Bride (2013),Status Released,Original Language English,Runtime 1h 25m,Budget -,Revenue -,Homepage -,Release Information,Katrina Law,Patricia Richardson,Susie Abromeit,Jordan Belfi,Robert Curtis Brown,Bobby Campo,Full Cast & Crew,
Holy Ghost People (2013),Status Released,Original Language English,Runtime 1h 33m,Budget -,Revenue -,Homepage -,Release Information,Emma Greenwell,Brendan McCarthy,Joe Egender,Cameron Richardson,Roger Aaron Brown,Don Harvey,Full Cast & Crew,
Warlords of Atlantis (1978),Status Released,Original Language English,Runtime 1h 36m,Budget -,Revenue -,Homepage -,Release Information,Doug McClure,Peter Gilmore,Shane Rimmer,Lea Brodie,John Ratzenberger,Cyd Charisse,Full Cast & Crew,
